"","location_fine","imd"
"1","E06000001",35.037
"2","E06000002",40.46
"3","E06000003",29.792
"4","E06000004",25.79
"5","E06000005",25.657
"6","E06000006",32.325
"7","E06000007",18.942
"8","E06000008",36.013
"9","E06000009",45.039
"10","E06000010",40.564
"11","E06000011",15.605
"12","E06000012",31.335
"13","E06000013",22.096
"14","E06000014",11.727
"15","E06000015",26.323
"16","E06000016",30.877
"17","E06000017",8.381
"18","E06000018",34.891
"19","E06000019",18.89
"20","E06000020",24.988
"21","E06000021",34.504
"22","E06000022",11.745
"23","E06000023",26.363
"24","E06000024",15.825
"25","E06000025",11.66
"26","E06000026",26.619
"27","E06000027",28.104
"28","E06000030",18.622
"29","E06000031",27.821
"30","E06000032",25.908
"31","E06000033",22.375
"32","E06000034",20.928
"33","E06000035",23.936
"34","E06000036",10.241
"35","E06000037",9.952
"36","E06000038",19.619
"37","E06000039",22.965
"38","E06000040",8.376
"39","E06000041",5.846
"40","E06000042",17.98
"41","E06000043",20.761
"42","E06000044",26.899
"43","E06000045",26.876
"44","E06000046",23.294
"45","E06000047",26.793
"46","E06000049",14.475
"47","E06000050",18.083
"48","E06000051",17.153
"49","E06000052",23.072
"50","E06000053",12.005
"51","E06000054",13.447
"52","E06000055",18.932
"53","E06000056",12.152
"54","E06000057",22.079
"55","E06000058",18.173
"56","E06000059",15.735
"57","E07000004",11.183
"58","E07000005",6.952
"59","E07000006",9.481
"60","E07000007",10.742
"61","E07000008",14.855
"62","E07000009",11.507
"63","E07000010",25.426
"64","E07000011",12.55
"65","E07000012",8.496
"66","E07000026",22.938
"67","E07000027",31.117
"68","E07000028",21.997
"69","E07000029",25.012
"70","E07000030",16.328
"71","E07000031",12.501
"72","E07000032",17.97
"73","E07000033",25.047
"74","E07000034",24.926
"75","E07000035",11.895
"76","E07000036",18.818
"77","E07000037",15.642
"78","E07000038",17.399
"79","E07000039",14.494
"80","E07000040",12.764
"81","E07000041",16.215
"82","E07000042",16.928
"83","E07000043",20.559
"84","E07000044",13.724
"85","E07000045",15.893
"86","E07000046",23.269
"87","E07000047",18.052
"88","E07000061",22.11
"89","E07000062",34.281
"90","E07000063",15.758
"91","E07000064",19.768
"92","E07000065",12.311
"93","E07000066",23.243
"94","E07000067",14.723
"95","E07000068",10.007
"96","E07000069",16.842
"97","E07000070",12.221
"98","E07000071",16.778
"99","E07000072",15.068
"100","E07000073",21.413
"101","E07000074",14.169
"102","E07000075",10.449
"103","E07000076",30.484
"104","E07000077",9.258
"105","E07000078",14.26
"106","E07000079",11.061
"107","E07000080",18.013
"108","E07000081",21.807
"109","E07000082",10.797
"110","E07000083",12.142
"111","E07000084",12.823
"112","E07000085",10.284
"113","E07000086",10.192
"114","E07000087",9.019
"115","E07000088",20.541
"116","E07000089",5.544
"117","E07000090",21.806
